Manufacture,Type,Engine,Controllers,SPN,FMI,Code,KWP,Blink
Deutz,Deutz,Deutz,ECM,523899,13,Engine - Injector 5 IMA Code - Out of calibration,563,158
Deutz,Deutz,Deutz,ECM,523900,13,Engine - Injector 6 IMA Code - Out of calibration,564,158
Deutz,Deutz,Deutz,ECM,523350,4,Engine - Injectors bank 1 - Voltage below normal or shorted to low source,565,151
Deutz,Deutz,Deutz,ECM,523352,4,Engine - Injectors bank 2 - Voltage below normal or shorted to low source,566,152
Deutz,Deutz,Deutz,ECM,523354,12,Engine - Output power stage Injector - Bad intelligent device or component,567,153
Deutz,Deutz,Deutz,ECM,651,5,Engine - Injector 1 - Current below normal or open circuit,568,154
Deutz,Deutz,Deutz,ECM,652,5,Engine - Injector 2 - Current below normal or open circuit,569,155
Deutz,Deutz,Deutz,ECM,653,5,Engine - Injector 3 - Current below normal or open circuit,570,156
Deutz,Deutz,Deutz,ECM,654,5,Engine - Injector 4 - Current below normal or open circuit,571,161
Deutz,Deutz,Deutz,ECM,655,5,Engine - Injector 5 - Current below normal or open circuit,572,162
Deutz,Deutz,Deutz,ECM,656,5,Engine - Injector 6 - Current below normal or open circuit,573,163
Deutz,Deutz,Deutz,ECM,651,3,Engine - Injector 1 - Voltage above normal or shorted to high source,580,154
Deutz,Deutz,Deutz,ECM,652,3,Engine - Injector 2 - Voltage above normal or shorted to high source,581,155
Deutz,Deutz,Deutz,ECM,653,3,Engine - Injector 3 - Voltage above normal or shorted to high source,582,156
Deutz,Deutz,Deutz,ECM,654,3,Engine - Injector 4 - Voltage above normal or shorted to high source,583,161
Deutz,Deutz,Deutz,ECM,655,3,Engine - Injector 5 - Voltage above normal or shorted to high source,584,162
Deutz,Deutz,Deutz,ECM,656,3,Engine - Injector 6 - Voltage above normal or shorted to high source,585,163
Deutz,Deutz,Deutz,ECM,523615,5,Engine - Fuel metering unit - Current below normal or open circuit,592,135
Deutz,Deutz,Deutz,ECM,523615,12,Engine - Fuel metering unit - Bad intelligent device or component,593,135
Deutz,Deutz,Deutz,ECM,523615,3,Engine - Fuel metering unit - Voltage above normal or shorted to high source,594,135
Deutz,Deutz,Deutz,ECM,523615,4,Engine - Fuel metering unit - Voltage below normal or shorted to low source,595,135
Deutz,Deutz,Deutz,ECM,523615,3,Engine - Fuel metering unit - Voltage above normal or shorted to high source,596,135
Deutz,Deutz,Deutz,ECM,523615,4,Engine - Fuel metering unit - Voltage below normal or shorted to low source,597,135
Deutz,Deutz,Deutz,ECM,523615,3,Engine - Fuel metering unit - Voltage above normal or shorted to high source,598,135
Deutz,Deutz,Deutz,ECM,523615,4,Engine - Fuel metering unit - Voltage below normal or shorted to low source,599,135
Deutz,Deutz,Deutz,ECM,1323,12,Engine - Misfire cylinder 1 - Bad intelligent device or component,604,241
Deutz,Deutz,Deutz,ECM,1324,12,Engine - Misfire cylinder 2 - Bad intelligent device or component,605,241
Deutz,Deutz,Deutz,ECM,1325,12,Engine - Misfire cylinder 3 - Bad intelligent device or component,606,241
Deutz,Deutz,Deutz,ECM,1326,12,Engine - Misfire cylinder 4 - Bad intelligent device or component,607,241
Deutz,Deutz,Deutz,ECM,1327,12,Engine - Misfire cylinder 5 - Bad intelligent device or component,608,241
Deutz,Deutz,Deutz,ECM,1328,12,Engine - Misfire cylinder 6 - Bad intelligent device or component,609,241
Deutz,Deutz,Deutz,ECM,1322,12,Engine - Misfire for multiple cylinders - Bad intelligent device or component,610,241
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,612,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,613,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,614,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,615,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,616,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,617,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,618,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,619,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,620,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,621,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,623,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,624,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,625,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,627,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,628,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,629,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,630,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,631,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,632,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,633,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,634,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,635,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,636,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,637,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,638,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,639,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,640,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,641,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,642,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,643,555
Deutz,Deutz,Deutz,ECM,523612,3,Engine - ECU - Voltage above normal or shorted to high source,644,555
Deutz,Deutz,Deutz,ECM,523612,4,Engine - ECU - Voltage below normal or shorted to low source,646,555
Deutz,Deutz,Deutz,ECM,523008,1,Engine - Manipulation monitoring - Data below normal operational range (Most severe level),648,424
Deutz,Deutz,Deutz,ECM,523008,2,Engine - Manipulation monitoring - Data erratic intermittent or incorrect,649,424
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,714,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,715,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,716,555
Deutz,Deutz,Deutz,ECM,523612,12,Engine - ECU - Bad intelligent device or component,717,555
Deutz,Deutz,Deutz,ECM,100,3,Engine - Oil pressure sensor - Voltage above normal or shorted to high source,732,224
Deutz,Deutz,Deutz,ECM,100,4,Engine - Oil pressure sensor - Voltage below normal or shorted to low source,733,224
Deutz,Deutz,Deutz,ECM,100,0,Engine - Oil pressure sensor - Data above normal operational range (Most severe level),734,231
Deutz,Deutz,Deutz,ECM,100,0,Engine - Oil pressure sensor - Data above normal operational range (Most severe level),735,231
Deutz,Deutz,Deutz,ECM,100,1,Engine - Oil pressure sensor - Data below normal operational range (Most severe level),736,231
Deutz,Deutz,Deutz,ECM,100,1,Engine - Oil pressure sensor - Data below normal operational range (Most severe level),737,231
Deutz,Deutz,Deutz,ECM,175,3,Engine - Oil temperature - Voltage above normal or shorted to high source,743,144
Deutz,Deutz,Deutz,ECM,175,4,Engine - Oil temperature - Voltage below normal or shorted to low source,744,144
Deutz,Deutz,Deutz,ECM,175,0,Engine - Oil temperature - Data above normal operational range (Most severe level),745,144
Deutz,Deutz,Deutz,ECM,175,0,Engine - Oil temperature - Data above normal operational range (Most severe level),746,144
Deutz,Deutz,Deutz,ECM,1237,2,Engine - Shutdown override switch - Data erratic intermittent or incorrect,747,145
Deutz,Deutz,Deutz,ECM,107,3,Engine - Air filter differential pressure sensor - Voltage above normal or shorted to high source,750,136
Deutz,Deutz,Deutz,ECM,107,0,Engine - Air filter differential pressure sensor - Data above normal operational range (Most severe level),751,136
Deutz,Deutz,Deutz,ECM,107,0,Engine - Air filter differential pressure sensor - Data above normal operational range (Most severe level),752,136
